id,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName
MR,1,Nina,Bernardine,Moehler,Female,2002/08/29,9,Apt 1178,Chadstone,855,QLD,42,86,Suite 68,Glen Waverley,90,VIC,9373316429,9789428567,bmoehler0@telegraph.co.uk,Eden-Monaro
MISS,2,Kerwin,Moshe,Tittletross,Male,1991/10/02,5,Suite 6,Chadstone,960,TA,14,32,PO Box 50704,Glen Waverley,944,TA,5689670562,3386349730,mtittletross1@si.edu,Cowper Cunningham
MISS,3,Lelia,Patty,Stud,Female,1966/10/14,6,Apt 861,Chadstone,733,WA,84,5,PO Box 52590,Glen Waverley,825,WA,1331093023,2183031851,pstud2@biglobe.ne.jp,Scullin
MISS,4,Dari,Jesus,Fynan,Genderfluid,1979/08/21,12,16th Floor,Chadstone,212,QLD,14,4,Apt 206,Chadstone,139,ACT,7115263162,4031761864,jfynan3@webeden.co.uk,Solomon
MISS,5,Philis,Kellsie,Pellew,Female,1981/04/08,9,Suite 18,Chadstone,221,ACT,92,15,Apt 1470,Chadstone,611,VIC,5544601828,1846646983,kpellew4@whitehouse.gov,Higgins
MR,6,Gino,Finlay,Brain,Male,1995/08/23,10,Apt 643,Chadstone,540,TA,12,44,Room 1245,Chadstone,725,QLD,9768551035,9112330043,fbrain5@loc.gov,Bean
MISS,7,Ruby,Duncan,Krout,Male,1963/07/27,4,Apt 951,Chadstone,556,TA,35,70,Room 1260,Glen Waverley,32,NT,1314732515,4829066477,dkrout6@rediff.com,Bendigo
MISS,8,Adele,Jaine,de Verson,Female,1993/12/23,2,Apt 682,Chadstone,710,TA,83,57,Suite 74,Chadstone,569,NSW,6825632837,3199340249,jdeverson7@shop-pro.jp,McMahon
MISS,9,Ardenia,Delia,O'Flaverty,Non-binary,1977/08/11,11,14th Floor,Chadstone,579,VIC,38,97,7th Floor,Glen Waverley,235,QLD,9509078898,2424159562,doflaverty8@google.com.br,Flinders
MISS,10,Mignonne,Gabriellia,Bockh,Female,1976/08/05,11,6th Floor,Chadstone,48,ACT,81,21,3rd Floor,Chadstone,13,TA,7015075398,8575719791,gbockh9@archive.org,Barker
MISS,11,Hyatt,Langsdon,Vickar,Male,2003/06/01,1,Apt 813,Chadstone,148,NT,88,59,Apt 1632,Glen Waverley,840,QLD,3195306158,5648588803,lvickara@cafepress.com,Brand
MISS,12,Romeo,Goober,Adaway,Male,1994/11/22,12,Suite 87,Chadstone,323,QLD,51,54,PO Box 90405,Glen Waverley,121,ACT,6299921238,1921180104,gadawayb@paginegialle.it,Lingiari
MR,13,Hetty,Sibylle,Parminter,Female,1984/11/25,8,Suite 53,Chadstone,157,QLD,10,9,Apt 1986,Glen Waverley,407,NT,8376840008,1247375366,sparminterc@webeden.co.uk,Kooyong
MR,14,Corbett,Dylan,Louisot,Agender,1961/11/09,2,Apt 1333,Chadstone,734,NT,23,4,Apt 482,Chadstone,905,NT,2765879517,5159339068,dlouisotd@usnews.com,Grayndler
MISS,15,Rasla,Chelsy,Aliberti,Female,1988/12/02,9,PO Box 71133,Chadstone,106,QLD,88,5,Room 876,Glen Waverley,135,NT,3913312173,2318235976,calibertie@loc.gov,Werriwa
MISS,16,Kathleen,Portia,Bugg,Female,1997/01/12,1,Apt 1816,Chadstone,19,VIC,90,80,Room 345,Glen Waverley,238,NSW,2179385332,5783419908,pbuggf@list-manage.com,Nicholls
MR,17,Rosamond,Lesley,Carlino,Female,1998/06/18,8,Suite 92,Chadstone,804,VIC,1,63,10th Floor,Chadstone,997,WA,9038740446,3132251176,lcarlinog@nhs.uk,Robertson
MISS,18,Haslett,Jerry,Checcucci,Male,2003/04/29,5,Room 420,Chadstone,404,TA,2,62,Suite 20,Glen Waverley,73,SA,2169024333,8931185269,jcheccuccih@berkeley.edu,Hume
MR,19,Mohandas,Garrett,Kix,Male,1968/03/27,10,Suite 80,Chadstone,482,QLD,63,11,3rd Floor,Chadstone,836,QLD,4365545254,3563849199,gkixi@google.nl,Scullin
MISS,20,Marjorie,Pietra,Buttrick,Polygender,1984/11/22,2,8th Floor,Chadstone,737,SA,36,56,Apt 948,Glen Waverley,886,NT,4636036863,5686836258,pbuttrickj@lycos.com,Blaxland
MR,21,Konrad,Hayward,Stayte,Male,1963/05/14,9,Room 1741,Chadstone,408,VIC,74,13,Suite 29,Glen Waverley,315,WA,5419355081,2937488212,hstaytek@google.com,Barton
MISS,22,Conway,Roderigo,Balffye,Male,2004/05/24,8,Suite 53,Chadstone,155,TA,7,81,Room 212,Chadstone,67,QLD,7735621813,7376099785,rbalffyel@nature.com,Swan
MR,23,Izzy,Archambault,Spedroni,Male,2005/06/14,4,Room 1810,Chadstone,529,NSW,62,95,8th Floor,Chadstone,47,VIC,1059881950,5223879898,aspedronim@homestead.com,Lyons
MR,24,Stefan,Baron,Risborough,Male,2001/01/13,2,PO Box 89914,Chadstone,798,ACT,83,72,4th Floor,Chadstone,756,QLD,7108605044,9798074759,brisboroughn@oracle.com,Solomon
MISS,25,Lia,Noel,Dallyn,Female,1985/02/09,6,9th Floor,Chadstone,604,WA,79,10,Suite 65,Glen Waverley,756,NSW,5328947988,6804913389,ndallyno@sun.com,Spence
MISS,26,Rossy,Albrecht,Rive,Male,1969/04/27,11,1st Floor,Chadstone,637,WA,30,74,PO Box 46336,Glen Waverley,600,NT,5952042178,5298917941,arivep@dedecms.com,Hunter
MISS,27,Livia,Herta,Rolston,Female,1966/05/28,12,Suite 2,Chadstone,904,SA,80,69,Apt 539,Glen Waverley,993,TA,1974714811,1376044062,hrolstonq@digg.com,Capricornia
MR,28,Purcell,Cletus,Dummigan,Male,1968/05/31,10,Room 1243,Chadstone,255,QLD,83,8,14th Floor,Chadstone,687,ACT,8919543799,7191220833,cdummiganr@bing.com,Oxley
MR,29,Terrel,Francklin,Haylock,Male,1966/10/17,8,PO Box 79606,Chadstone,435,WA,40,72,Apt 1536,Glen Waverley,442,SA,9615687171,1809870893,fhaylocks@1und1.de,Hotham
MISS,30,Winifield,Taylor,Furmston,Male,1967/07/30,6,20th Floor,Chadstone,346,VIC,17,92,4th Floor,Glen Waverley,672,NSW,3848054485,4019802288,tfurmstont@imageshack.us,Richmond
MR,31,Bennett,Thalia,Spalton,Genderfluid,2004/02/06,6,17th Floor,Chadstone,285,NSW,17,70,Apt 398,Glen Waverley,65,TA,3061385291,4588127478,tspaltonu@mlb.com,Goldstein
MISS,32,Jessamine,Harriet,Pether,Non-binary,2004/06/01,6,Room 544,Chadstone,138,WA,38,46,13th Floor,Chadstone,63,NT,3444057934,8781721674,hpetherv@google.ru,Forde
MR,33,Iggie,Alex,Corck,Male,1974/11/03,11,Apt 97,Chadstone,11,QLD,37,70,15th Floor,Glen Waverley,559,QLD,3583078472,8379552294,acorckw@nature.com,Nicholls
MR,34,Archie,Terrence,Elias,Male,2006/05/31,4,Room 1294,Chadstone,289,NT,90,66,Room 1303,Glen Waverley,309,NSW,4812460618,2007133112,teliasx@xinhuanet.com,Durack
MR,35,Ada,Margi,Balint,Female,1961/05/14,10,Room 221,Chadstone,561,NT,26,68,Suite 55,Glen Waverley,234,NT,2984166684,7738584253,mbalinty@google.es,Canning
MR,36,Caddric,Skippy,Costar,Male,1993/04/26,1,Suite 58,Chadstone,38,TA,23,53,2nd Floor,Chadstone,462,TA,1772273895,7415405512,scostarz@nydailynews.com,Gilmore
MISS,37,Bethina,Cahra,Rudderham,Female,1994/10/10,3,Apt 266,Chadstone,821,ACT,97,22,Suite 22,Glen Waverley,899,QLD,4769789209,9537368343,crudderham10@feedburner.com,Fraser
MISS,38,Esme,Noel,Wigsell,Bigender,1994/02/14,6,Apt 195,Chadstone,58,NT,14,36,Suite 79,Chadstone,987,SA,9487868222,6246494301,nwigsell11@umich.edu,Barton
MR,39,Cleveland,Nobe,Boxell,Male,2000/03/24,9,Apt 46,Chadstone,892,TA,69,69,Suite 33,Glen Waverley,891,NT,7478138774,9418605452,nboxell12@forbes.com,McEwen
MR,40,Sammy,Dav,Adaway,Male,1964/04/13,8,Apt 537,Chadstone,15,VIC,99,19,2nd Floor,Glen Waverley,489,WA,4999811739,6579376967,dadaway13@wikia.com,Holt
MISS,41,Jarrad,Free,Golagley,Male,1964/09/21,3,Apt 1510,Chadstone,757,WA,91,67,Suite 52,Glen Waverley,599,NSW,9296540542,5666973122,fgolagley14@seattletimes.com,Casey
MISS,42,Chev,Ailbert,Dew,Male,1984/06/24,2,Suite 48,Chadstone,227,NT,39,77,Suite 65,Chadstone,578,TA,6202201351,5562947580,adew15@state.gov,Bean
MISS,43,Rickard,Terrel,Aspey,Male,2002/07/07,1,Suite 30,Chadstone,1000,ACT,77,53,Room 425,Glen Waverley,862,TA,7119488344,6543423368,taspey16@google.co.uk,Menzies
MR,44,Amye,Melodie,Job,Female,1969/07/05,6,Room 1678,Chadstone,51,VIC,1,85,PO Box 43494,Glen Waverley,347,TA,9151812215,7467456130,mjob17@wix.com,Gippsland
MR,45,Geordie,Marylee,Duffer,Agender,1974/05/18,1,Suite 43,Chadstone,50,TA,73,65,Apt 33,Chadstone,138,SA,8289608061,6438396843,mduffer18@ow.ly,Forde
MR,46,Katrinka,Obidiah,Teenan,Non-binary,2001/05/28,5,Suite 31,Chadstone,181,WA,89,48,PO Box 72800,Chadstone,966,SA,1705445473,5887232102,oteenan19@baidu.com,Holt
MR,47,Francis,Germaine,Brodbin,Male,1992/06/01,5,Room 214,Chadstone,299,VIC,18,59,PO Box 18329,Glen Waverley,908,NT,4841398913,9163567999,gbrodbin1a@chronoengine.com,Kooyong
MISS,48,Trefor,Derrek,Marzele,Male,2005/01/01,8,3rd Floor,Chadstone,214,NT,42,63,Suite 48,Glen Waverley,184,QLD,7317698434,5277395143,dmarzele1b@imgur.com,Lingiari
MISS,49,Ira,Derrick,Scuse,Male,1980/10/27,8,PO Box 40150,Chadstone,191,WA,33,99,PO Box 59047,Chadstone,722,SA,6671959774,8157599586,dscuse1c@reverbnation.com,Warringah
